conj,infinitive,mode,pess,time
sou,ser,indicativo,eu,presente
fui,ser,indicativo,eu,pretérito perfeito
era,ser,indicativo,eu,pretérito imperfeito
és,ser,indicativo,tu,presente
foste,ser,indicativo,tu,pretérito perfeito
eras,ser,indicativo,tu,pretérito imperfeito
é,ser,indicativo,ele/ela,presente
foi,ser,indicativo,ele/ela,pretérito perfeito
era,ser,indicativo,ele/ela,pretérito imperfeito
somos,ser,indicativo,nós,presente
fomos,ser,indicativo,nós,pretérito perfeito
éramos,ser,indicativo,nós,pretérito imperfeito
sois,ser,indicativo,vós,presente
fostes,ser,indicativo,vós,pretérito perfeito
éreis,ser,indicativo,vós,pretérito imperfeito
são,ser,indicativo,eles/elas,presente
foram,ser,indicativo,eles/elas,pretérito perfeito
eram,ser,indicativo,eles/elas,pretérito imperfeito
fora,ser,indicativo,eu,pret. mais-que-perfeito
serei,ser,indicativo,eu,futuro
seria,ser,indicativo,eu,condicional
foras,ser,indicativo,tu,pret. mais-que-perfeito
serás,ser,indicativo,tu,futuro
serias,ser,indicativo,tu,condicional
fora,ser,indicativo,ele/ela,pret. mais-que-perfeito
será,ser,indicativo,ele/ela,futuro
seria,ser,indicativo,ele/ela,condicional
fôramos,ser,indicativo,nós,pret. mais-que-perfeito
seremos,ser,indicativo,nós,futuro
seríamos,ser,indicativo,nós,condicional
fôreis,ser,indicativo,vós,pret. mais-que-perfeito
sereis,ser,indicativo,vós,futuro
seríeis,ser,indicativo,vós,condicional
foram,ser,indicativo,eles/elas,pret. mais-que-perfeito
serão,ser,indicativo,eles/elas,futuro
seriam,ser,indicativo,eles/elas,condicional
tenho,ter,indicativo,eu,presente
tive,ter,indicativo,eu,pretérito perfeito
tinha,ter,indicativo,eu,pretérito imperfeito
tens,ter,indicativo,tu,presente
tiveste,ter,indicativo,tu,pretérito perfeito
tinhas,ter,indicativo,tu,pretérito imperfeito
tem,ter,indicativo,ele/ela,presente
teve,ter,indicativo,ele/ela,pretérito perfeito
tinha,ter,indicativo,ele/ela,pretérito imperfeito
temos,ter,indicativo,nós,presente
